time/time_elapsed,time/total_timesteps,rollout/ep_len_mean,rollout/ep_rew_mean,time/fps,time/episodes,network_speed,ego_speed,train/critic_loss,train/n_updates,train/actor_loss,train/ent_coef,train/learning_rate
2555,904898,94.57,30.266004000000002,119,9868,20.254508358867984,21.78409412959084,7.27335786819458,226124,-3.549381732940674,0.0,0.0005
2559,905307,95.49,30.404555920000004,119,9872,19.399306360678143,16.245221901290417,15.051603317260742,226226,-3.001241683959961,0.0,0.0005
2563,905661,94.73,30.36559433,119,9876,19.303503985781823,17.242035270214828,16.22146987915039,226315,-4.037627220153809,0.0,0.0005
2564,905930,94.1,27.979068009999995,119,9880,20.29029411283092,19.16249949852782,11.654899597167969,226382,-5.676197052001953,0.0,0.0005
2567,906273,93.19,25.840804379999998,119,9884,19.55235949679209,19.467967503198775,8.167421340942383,226468,-4.904752731323242,0.0,0.0005
2571,906687,93.57,25.724814350000006,119,9888,21.085569363795436,18.391892586254873,8.031704902648926,226571,-4.647335052490234,0.0,0.0005
2574,907033,93.9,28.277009319999998,119,9892,22.41397799186026,22.95024428633494,35.17498779296875,226658,-3.0365593433380127,0.0,0.0005
2577,907463,95.12,27.813379189999996,119,9896,20.21521779663511,14.054283452534099,14.361102104187012,226765,-2.1804070472717285,0.0,0.0005
2581,907938,95.85,27.85677569,119,9900,18.190017499017173,17.145716019326294,9.990345001220703,226884,-3.2815046310424805,0.0,0.0005
2584,908331,95.04,28.059388590000005,119,9904,21.747500120756445,20.359116940739355,16.163232803344727,226982,-7.303520679473877,0.0,0.0005
2588,908718,94.38,27.83246678,119,9908,20.58691362025506,22.95293504226018,9.530155181884766,227079,-5.739618301391602,0.0,0.0005
2592,909166,95.4,27.467243139999997,119,9912,22.293308986470045,24.49790024390486,8.300591468811035,227191,-4.03153133392334,0.0,0.0005
2595,909544,95.59,27.102189600000006,119,9916,20.346494103863915,19.938987986095615,13.852113723754883,227285,-4.141037464141846,0.0,0.0005
2598,909986,96.07,27.115734180000004,119,9920,20.54303025148824,22.44855252105273,13.237630844116211,227396,-4.646737098693848,0.0,0.0005
2601,910393,96.61,27.226366909999996,119,9924,19.78026270570326,16.072178515901197,10.306182861328125,227498,-5.073831081390381,0.0,0.0005
2605,910879,96.22,27.40015992,119,9928,20.669597073409133,13.467566611547149,16.35786247253418,227619,-5.359037399291992,0.0,0.0005
2609,911205,95.25,27.45579326,119,9932,19.571085222949964,20.098510351737872,8.502298355102539,227701,-4.587101936340332,0.0,0.0005
2613,911660,96.19,27.06183117999999,119,9936,18.157804446912223,11.490902656667387,25.85256004333496,227814,0.38866615295410156,0.0,0.0005
2614,911923,94.24,24.83803256,119,9940,20.338433671565927,22.275137359221013,23.201683044433594,227880,-8.320573806762695,0.0,0.0005
2617,912246,94.58,21.417471000000006,119,9944,20.681454336987798,20.720885442924157,11.367491722106934,227961,-2.9083685874938965,0.0,0.0005
2621,912621,94.85,21.480484639999997,119,9948,21.64590530906512,20.96218573225989,9.506292343139648,228055,-4.45515775680542,0.0,0.0005
2623,912959,94.32,20.86751013,119,9952,16.884475703796245,17.002124072803525,10.569526672363281,228139,-5.701946258544922,0.0,0.0005
2626,913283,94.43,20.669814640000006,119,9956,17.2759784544199,21.3126226602345,17.78066635131836,228220,-1.677577257156372,0.0,0.0005
2630,913728,94.6,20.610397170000002,119,9960,19.60835274590697,13.74442850525126,9.026665687561035,228331,-7.681501388549805,0.0,0.0005
2634,914212,95.85,20.57174783,119,9964,21.310816712442605,21.170314936202555,8.755186080932617,228452,-4.6266350746154785,0.0,0.0005
